"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","75"
"Cow Dung","0"
"Electricity Fuel","17"
"KeroseneFuel","69"
"LP Gas","805"
"Not Sated about Fuel","32"
"OthersFuel","17"
"Wood/FireWood","8726"
"Total","9741"
