"Population by Single Year of Age","Number"
"0",""
"Female","595"
"Male","665"
"1",""
"Female","498"
"Male","539"
"10",""
"Female","1065"
"Male","1134"
"11",""
"Female","711"
"Male","764"
"12",""
"Female","1054"
"Male","1163"
"13",""
"Female","892"
"Male","861"
"14",""
"Female","925"
"Male","904"
"15",""
"Female","910"
"Male","914"
"16",""
"Female","846"
"Male","864"
"17",""
"Female","645"
"Male","677"
"18",""
"Female","935"
"Male","946"
"19",""
"Female","460"
"Male","434"
"2",""
"Female","562"
"Male","617"
"20",""
"Female","1008"
"Male","807"
"21",""
"Female","458"
"Male","448"
"22",""
"Female","723"
"Male","736"
"23",""
"Female","528"
"Male","487"
"24",""
"Female","495"
"Male","634"
"25",""
"Female","1006"
"Male","1025"
"26",""
"Female","478"
"Male","525"
"27",""
"Female","419"
"Male","457"
"28",""
"Female","672"
"Male","641"
"29",""
"Female","234"
"Male","283"
"3",""
"Female","728"
"Male","740"
"30",""
"Female","1075"
"Male","978"
"31",""
"Female","187"
"Male","235"
"32",""
"Female","507"
"Male","537"
"33",""
"Female","290"
"Male","299"
"34",""
"Female","335"
"Male","269"
"35",""
"Female","1004"
"Male","1052"
"36",""
"Female","326"
"Male","320"
"37",""
"Female","216"
"Male","268"
"38",""
"Female","435"
"Male","408"
"39",""
"Female","173"
"Male","163"
"4",""
"Female","712"
"Male","779"
"40",""
"Female","867"
"Male","1042"
"41",""
"Female","140"
"Male","153"
"42",""
"Female","301"
"Male","351"
"43",""
"Female","225"
"Male","175"
"44",""
"Female","169"
"Male","139"
"45",""
"Female","688"
"Male","814"
"46",""
"Female","167"
"Male","169"
"47",""
"Female","131"
"Male","145"
"48",""
"Female","261"
"Male","225"
"49",""
"Female","118"
"Male","104"
"5",""
"Female","875"
"Male","920"
"50",""
"Female","528"
"Male","677"
"51",""
"Female","99"
"Male","126"
"52",""
"Female","150"
"Male","183"
"53",""
"Female","102"
"Male","118"
"54",""
"Female","104"
"Male","96"
"55",""
"Female","397"
"Male","495"
"56",""
"Female","126"
"Male","130"
"57",""
"Female","77"
"Male","91"
"58",""
"Female","178"
"Male","121"
"59",""
"Female","82"
"Male","81"
"6",""
"Female","765"
"Male","847"
"60",""
"Female","524"
"Male","556"
"61",""
"Female","64"
"Male","75"
"62",""
"Female","116"
"Male","112"
"63",""
"Female","68"
"Male","49"
"64",""
"Female","61"
"Male","54"
"65",""
"Female","351"
"Male","462"
"66",""
"Female","56"
"Male","52"
"67",""
"Female","54"
"Male","68"
"68",""
"Female","96"
"Male","117"
"69",""
"Female","26"
"Male","50"
"7",""
"Female","821"
"Male","874"
"70",""
"Female","245"
"Male","294"
"71",""
"Female","37"
"Male","41"
"72",""
"Female","48"
"Male","73"
"73",""
"Female","31"
"Male","42"
"74",""
"Female","16"
"Male","26"
"75",""
"Female","113"
"Male","142"
"76",""
"Female","15"
"Male","27"
"77",""
"Female","15"
"Male","11"
"78",""
"Female","21"
"Male","24"
"79",""
"Female","10"
"Male","10"
"8",""
"Female","946"
"Male","993"
"80",""
"Female","67"
"Male","68"
"81",""
"Female","7"
"Male","10"
"82",""
"Female","8"
"Male","11"
"83",""
"Female","2"
"Male","8"
"84",""
"Female","7"
"Male","9"
"85",""
"Female","76"
"Male","72"
"9",""
"Female","752"
"Male","749"
