"Population by Mother tongue","Number"
"Avadhi",""
"Female","12300"
"Male","13538"
"Bangla",""
"Female","3"
"Male","9"
"Bhojpuri",""
"Female","521"
"Male","581"
"Doteli",""
"Female","78"
"Male","94"
"Gurung",""
"Female","18"
"Male","16"
"Hindi",""
"Female","59"
"Male","70"
"Magar",""
"Female","115"
"Male","122"
"Maithili",""
"Female","428"
"Male","483"
"Nepali",""
"Female","8189"
"Male","7147"
"Newar",""
"Female","127"
"Male","128"
"Not Reported",""
"Female","4"
"Male","8"
"Others",""
"Female","28"
"Male","15"
"Raji",""
"Female","13"
"Male","20"
"Santhali",""
"Female","79"
"Male","89"
"Sherpa",""
"Female","39"
"Male","29"
"Tharu",""
"Female","7439"
"Male","7245"
"Urdu",""
"Female","3812"
"Male","3833"
