"Number of households by type of outer wall","Number"
"BambooWall","10869"
"Cement Bonded Bricks/Stone Wall","174382"
"Mud Bonded Bricks/Stone Wall","370513"
"Not Stated about Wall","3728"
"Other Type Wall","4948"
"Unbaked Bricks","1808"
"Wood/Planks","11434"
"Total","577682"
