"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","25981"
"Cow Dung","1194"
"Electricity Fuel","691"
"KeroseneFuel","3421"
"LP Gas","148008"
"Not Sated about Fuel","2295"
"OthersFuel","570"
"Wood/FireWood","395522"
"Total","577682"
