"Agricultural land use area","Hectare"
"Area under arable land","163927.00"
"Area under meadows and pasture","6008.00"
"Area under permanent crops","20299.00"
"Area under Temporary crops","158159.00"
"Area under temporary fallow","4665.00"
"Area under temporary meadows","1103.00"
"Other land","10554.00"
"Ponds","60.00"
"Woodland and forest","8950.00"
"Total","373725.00"
