"Population by Mother tongue","Number"
"Avadhi",""
"Female","15"
"Male","33"
"","48"
"Bajjika",""
"Female","668"
"Male","589"
"","1257"
"Bangla",""
"Female","113"
"Male","394"
"","507"
"Bantawa",""
"Female","37"
"Male","38"
"","75"
"Belhare",""
"Female","22"
"Male","18"
"","40"
"Bhojpuri",""
"Female","3222"
"Male","6828"
"","10050"
"Bhujel",""
"Female","1248"
"Male","1103"
"","2351"
"Bote",""
"Female","1148"
"Male","1076"
"","2224"
"Chepang",""
"Female","954"
"Male","907"
"","1861"
"Chhantyal",""
"Female","1521"
"Male","1202"
"","2723"
"Darai",""
"Female","2562"
"Male","2064"
"","4626"
"Doteli",""
"Female","71"
"Male","66"
"","137"
"Dura",""
"Female","1170"
"Male","865"
"","2035"
"English",""
"Female","36"
"Male","57"
"","93"
"Ghale",""
"Female","1799"
"Male","1430"
"","3229"
"Gurung",""
"Female","116471"
"Male","92502"
"","208973"
"Hindi",""
"Female","1156"
"Male","2784"
"","3940"
"Hyolmo/Yholmo",""
"Female","511"
"Male","410"
"","921"
"Jirel",""
"Female","18"
"Male","12"
"","30"
"Kham",""
"Female","2062"
"Male","1738"
"","3800"
"Khash",""
"Female","647"
"Male","449"
"","1096"
"Kulung",""
"Female","11"
"Male","20"
"","31"
"Kumal",""
"Female","2931"
"Male","2377"
"","5308"
"Lhopa",""
"Female","1472"
"Male","1229"
"","2701"
"Limbu",""
"Female","129"
"Male","151"
"","280"
"Magar",""
"Female","132160"
"Male","104617"
"","236777"
"Maithili",""
"Female","1598"
"Male","3061"
"","4659"
"Majhi",""
"Female","161"
"Male","174"
"","335"
"Musalman",""
"Female","15"
"Male","7"
"","22"
"Nepali",""
"Female","964542"
"Male","781746"
"","1746288"
"Newar",""
"Female","22332"
"Male","18924"
"","41256"
"Not Reported",""
"Female","1058"
"Male","847"
"","1905"
"Oriya",""
"Female","21"
"Male","70"
"","91"
"Others",""
"Female","1428"
"Male","1663"
"","3091"
"Punjabi",""
"Female","6"
"Male","7"
"","13"
"Rai",""
"Female","918"
"Male","1053"
"","1971"
"Rajbanshi",""
"Female","8"
"Male","11"
"","19"
"Rajsthani",""
"Female","9"
"Male","8"
"","17"
"Sanskrit",""
"Female","41"
"Male","53"
"","94"
"Santhali",""
"Female","25"
"Male","24"
"","49"
"Sherpa",""
"Female","366"
"Male","350"
"","716"
"Sign Language",""
"Female","236"
"Male","263"
"","499"
"Sunuwar",""
"Female","28"
"Male","44"
"","72"
"Tamang",""
"Female","17956"
"Male","16081"
"","34037"
"Thakali",""
"Female","1538"
"Male","1358"
"","2896"
"Tharu",""
"Female","18805"
"Male","16816"
"","35621"
"Tibetan",""
"Female","11"
"Male","14"
"","25"
"Uranw/Urau",""
"Female","21"
"Male","37"
"","58"
"Urdu",""
"Female","4597"
"Male","3897"
"","8494"
"Yakkha",""
"Female","5"
"Male","8"
"","13"
