"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","271119"
"Mud Roof","3619"
"Not Sated Roof","3949"
"Other Type of Roof","1065"
"RCC Roof","112899"
"Thatch/Straw Roof","64176"
"Tile/Slate Roof","116642"
"Wood/Planks Roof","4213"
"Total","577682"
