"Population by Five Years Age Group","Number"
"0-4",""
"Female","2202"
"Male","2256"
"10-14",""
"Female","2718"
"Male","2954"
"15-19",""
"Female","1963"
"Male","2414"
"20-24",""
"Female","1653"
"Male","1583"
"25-29",""
"Female","1647"
"Male","1635"
"30-34",""
"Female","1412"
"Male","1221"
"35-39",""
"Female","1044"
"Male","1235"
"40-44",""
"Female","950"
"Male","917"
"45-49",""
"Female","809"
"Male","890"
"50-54",""
"Female","711"
"Male","756"
"55-59",""
"Female","672"
"Male","683"
"5-9",""
"Female","2775"
"Male","2844"
"60-64",""
"Female","481"
"Male","604"
"65-69",""
"Female","383"
"Male","424"
"70-74",""
"Female","273"
"Male","331"
"75+",""
"Female","239"
"Male","327"
