"Population by Five Years Age Group","Number"
"0-4",""
"Female","638"
"Male","644"
"10-14",""
"Female","1320"
"Male","1323"
"15-19",""
"Female","1287"
"Male","1051"
"20-24",""
"Female","763"
"Male","567"
"25-29",""
"Female","642"
"Male","473"
"30-34",""
"Female","605"
"Male","427"
"35-39",""
"Female","645"
"Male","445"
"40-44",""
"Female","562"
"Male","493"
"45-49",""
"Female","571"
"Male","480"
"50-54",""
"Female","471"
"Male","489"
"55-59",""
"Female","393"
"Male","391"
"5-9",""
"Female","974"
"Male","886"
"60-64",""
"Female","383"
"Male","382"
"65-69",""
"Female","311"
"Male","270"
"70-74",""
"Female","214"
"Male","245"
"75+",""
"Female","321"
"Male","263"
