"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","37"
"Cow Dung","5"
"Electricity","2"
"Kerosene","31"
"LP Gas","153"
"Not stated","36"
"Others","3"
"Wood/Firewood","4246"
"Total","4513"
