"Population by Five Years Age Group","Number"
"0-4",""
"Female","1304"
"Male","1346"
"10-14",""
"Female","1782"
"Male","1784"
"15-19",""
"Female","1615"
"Male","1475"
"20-24",""
"Female","1341"
"Male","857"
"25-29",""
"Female","1155"
"Male","703"
"30-34",""
"Female","890"
"Male","613"
"35-39",""
"Female","800"
"Male","607"
"40-44",""
"Female","785"
"Male","641"
"45-49",""
"Female","747"
"Male","642"
"50-54",""
"Female","620"
"Male","624"
"55-59",""
"Female","480"
"Male","508"
"5-9",""
"Female","1700"
"Male","1743"
"60-64",""
"Female","444"
"Male","418"
"65-69",""
"Female","348"
"Male","306"
"70-74",""
"Female","274"
"Male","232"
"75+",""
"Female","353"
"Male","325"
