"Number of households by type of outer wall","Number"
"BambooWall","761"
"Cement Bonded Bricks/Stone Wall","127"
"Mud Bonded Bricks/Stone Wall","4275"
"Not stated","12"
"Others","91"
"Unbaked Bricks","0"
"Wood/Planks","284"
"Total","5550"
