"Agricultural land use area","Hectare"
"Area under arable land","12666.00"
"Area under meadows and pasture","23.36"
"Area under permanent crops","4231.09"
"Area under Temporary crops","12052.73"
"Area under temporary fallow","554.74"
"Area under temporary meadows","58.54"
"Other land","365.12"
"Ponds","0.00"
"Woodland and forest","92.96"
