"Agricultural land use area","Hectare"
"Area under arable land","14888.75"
"Area under meadows and pasture","322.31"
"Area under permanent crops","4747.37"
"Area under Temporary crops","14673.11"
"Area under temporary fallow","178.34"
"Area under temporary meadows","37.30"
"Other land","692.87"
"Ponds","7.90"
"Woodland and forest","1668.31"
