"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","431"
"Cow Dung","5194"
"Electricity","3"
"Kerosene","131"
"LP Gas","2869"
"Not stated","40"
"Others","60"
"Wood/Firewood","4292"
"Total","13020"
