"Population by Five Years Age Group","Number"
"0-4",""
"Female","2578"
"Male","2733"
"10-14",""
"Female","3473"
"Male","3579"
"15-19",""
"Female","3139"
"Male","2767"
"20-24",""
"Female","2706"
"Male","1688"
"25-29",""
"Female","2447"
"Male","1455"
"30-34",""
"Female","1861"
"Male","1176"
"35-39",""
"Female","1745"
"Male","1153"
"40-44",""
"Female","1494"
"Male","1114"
"45-49",""
"Female","1143"
"Male","1029"
"50-54",""
"Female","848"
"Male","877"
"55-59",""
"Female","718"
"Male","690"
"5-9",""
"Female","3273"
"Male","3191"
"60-64",""
"Female","717"
"Male","680"
"65-69",""
"Female","577"
"Male","563"
"70-74",""
"Female","339"
"Male","401"
"75+",""
"Female","402"
"Male","434"
