"Population by Five Years Age Group","Number"
"0-4",""
"Female","1879"
"Male","1920"
"10-14",""
"Female","1794"
"Male","1825"
"15-19",""
"Female","1309"
"Male","1140"
"20-24",""
"Female","1053"
"Male","981"
"25-29",""
"Female","950"
"Male","825"
"30-34",""
"Female","778"
"Male","678"
"35-39",""
"Female","682"
"Male","718"
"40-44",""
"Female","573"
"Male","566"
"45-49",""
"Female","464"
"Male","489"
"50-54",""
"Female","390"
"Male","462"
"55-59",""
"Female","227"
"Male","316"
"5-9",""
"Female","2089"
"Male","2132"
"60-64",""
"Female","330"
"Male","298"
"65-69",""
"Female","174"
"Male","202"
"70-74",""
"Female","92"
"Male","113"
"75+",""
"Female","65"
"Male","76"
