"Population by Caste/Ethinicity","Number"
"Badi",""
"Female","48"
"Male","46"
"Brahman - Hill",""
"Female","367"
"Male","373"
"Chamar/ Harijan/ Ram",""
"Female","6"
"Male","6"
"Chhetri",""
"Female","4100"
"Male","4112"
"Dalit Others",""
"Female","15"
"Male","15"
"Damai/Dholi",""
"Female","720"
"Male","686"
"Gurung",""
"Female","12"
"Male","14"
"Kami",""
"Female","3093"
"Male","3067"
"Magar",""
"Female","2241"
"Male","2151"
"Others",""
"Female","17"
"Male","22"
"Rai",""
"Female","7"
"Male","11"
"Sanyasi/Dasnami",""
"Female","199"
"Male","183"
"Sarki",""
"Female","104"
"Male","119"
"Terai Others",""
"Female","7"
"Male","4"
"Thakuri",""
"Female","1913"
"Male","1932"
