"Population by Five Years Age Group","Number"
"0-4",""
"Female","1379"
"Male","1395"
"10-14",""
"Female","2029"
"Male","1913"
"15-19",""
"Female","1720"
"Male","1024"
"20-24",""
"Female","1259"
"Male","488"
"25-29",""
"Female","1108"
"Male","429"
"30-34",""
"Female","921"
"Male","400"
"35-39",""
"Female","885"
"Male","413"
"40-44",""
"Female","783"
"Male","448"
"45-49",""
"Female","690"
"Male","474"
"50-54",""
"Female","649"
"Male","447"
"55-59",""
"Female","576"
"Male","442"
"5-9",""
"Female","1683"
"Male","1638"
"60-64",""
"Female","521"
"Male","471"
"65-69",""
"Female","428"
"Male","396"
"70-74",""
"Female","284"
"Male","340"
"75+",""
"Female","365"
"Male","434"
