"Population by Caste/Ethinicity","Number"
"Brahman - Hill",""
"Female","5985"
"Male","4332"
"Chhetri",""
"Female","1229"
"Male","877"
"Dalit Others",""
"Female","10"
"Male","5"
"Damai/Dholi",""
"Female","691"
"Male","484"
"Gharti/Bhujel",""
"Female","276"
"Male","210"
"Gurung",""
"Female","25"
"Male","15"
"Kami",""
"Female","1839"
"Male","1242"
"Kumal",""
"Female","657"
"Male","525"
"Magar",""
"Female","3342"
"Male","2579"
"Musalman",""
"Female","330"
"Male","279"
"Newar",""
"Female","272"
"Male","162"
"Others",""
"Female","36"
"Male","16"
"Sarki",""
"Female","550"
"Male","395"
"Tamang",""
"Female","11"
"Male","0"
"Thakuri",""
"Female","27"
"Male","23"
