"Industries Employment","Number"
"Accommodation,  food",""
"Female","1121"
"Male","2477"
"Administrative, support service",""
"Female","12"
"Male","297"
"Agriculture, forestry and  fishing",""
"Female","98"
"Male","396"
"Arts, entertainment, recreation",""
"Female","3"
"Male","67"
"Construction",""
"Female","2"
"Male","16"
"Education",""
"Female","2413"
"Male","3395"
"Electricity, gas and water",""
"Female","20"
"Male","124"
"Financial intermediation and insurance",""
"Female","214"
"Male","538"
"Health, social work",""
"Female","383"
"Male","548"
"Information and communication",""
"Female","48"
"Male","133"
"Manufacturing",""
"Female","2084"
"Male","10371"
"Other service activities",""
"Female","277"
"Male","1232"
"Professional, scientific, techniqual activity",""
"Female","29"
"Male","185"
"Real estate, renting and business activity",""
"Female","0"
"Male","0"
"Transportation,  storage",""
"Female","21"
"Male","137"
"Water supply, wet management",""
"Female","25"
"Male","131"
"Wholesale, retail trade",""
"Female","3115"
"Male","10198"
