"Population by Mother tongue","Number"
"Bahing",""
"Female","1023"
"Male","795"
"","1818"
"Bhojpuri",""
"Female","10"
"Male","12"
"","22"
"Bhujel",""
"Female","98"
"Male","78"
"","176"
"Gurung",""
"Female","149"
"Male","100"
"","249"
"Khaling",""
"Female","9"
"Male","7"
"","16"
"Magar",""
"Female","1215"
"Male","943"
"","2158"
"Maithili",""
"Female","56"
"Male","126"
"","182"
"Nepali",""
"Female","10079"
"Male","8265"
"","18344"
"Newar",""
"Female","75"
"Male","71"
"","146"
"Not Reported",""
"Female","27"
"Male","25"
"","52"
"Others",""
"Female","26"
"Male","36"
"","62"
"Puma",""
"Female","29"
"Male","29"
"","58"
"Rai",""
"Female","322"
"Male","251"
"","573"
"Rajsthani",""
"Female","10"
"Male","9"
"","19"
"Sampang",""
"Female","25"
"Male","25"
"","50"
"Santhali",""
"Female","29"
"Male","29"
"","58"
"Sherpa",""
"Female","1592"
"Male","1333"
"","2925"
"Sunuwar",""
"Female","16"
"Male","10"
"","26"
"Tamang",""
"Female","516"
"Male","420"
"","936"
"Tharu",""
"Female","6"
"Male","12"
"","18"
"Thulung",""
"Female","26"
"Male","23"
"","49"
"Wambule",""
"Female","11"
"Male","7"
"","18"
"Yakkha",""
"Female","21"
"Male","19"
"","40"
