"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","1402"
"Mud Roof","3670"
"Not Sated Roof","189"
"Other Type of Roof","143"
"RCC Roof","38"
"Thatch/Straw Roof","7167"
"Tile/Slate Roof","8852"
"Wood/Planks Roof","1547"
"Total","23008"
