"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","34"
"Cow Dung","3"
"Electricity Fuel","10"
"KeroseneFuel","10"
"LP Gas","248"
"Not Sated about Fuel","139"
"OthersFuel","20"
"Wood/FireWood","22544"
"Total","23008"
