"Agricultural land use area","Hectare"
"Area under arable land","12513.00"
"Area under meadows and pasture","474.00"
"Area under permanent crops","1090.00"
"Area under Temporary crops","10994.00"
"Area under temporary fallow","1008.00"
"Area under temporary meadows","510.00"
"Other land","487.00"
"Ponds","3.00"
"Woodland and forest","134.00"
"Total","27213.00"
