"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","1363"
"Christianity","0"
"Hindu","19433"
"Islam","418"
"Jainism","1"
"Kirat","5"
"Prakriti","138"
"Sikhism","0"
"Undefined","172"
"Total","21530"
