"Population by Caste Ethinicity","Number"
"Badi",""
"Female","36"
"Male","25"
"","61"
"Brahman - Hill",""
"Female","2662"
"Male","2666"
"","5328"
"Chhetri",""
"Female","2632"
"Male","2573"
"","5205"
"Damai/Dholi",""
"Female","804"
"Male","820"
"","1624"
"Gurung",""
"Female","34"
"Male","40"
"","74"
"Kami",""
"Female","2665"
"Male","2694"
"","5359"
"Lohar",""
"Female","8"
"Male","10"
"","18"
"Magar",""
"Female","620"
"Male","586"
"","1206"
"Others",""
"Female","11"
"Male","7"
"","18"
"Sanyasi/Dasnami",""
"Female","76"
"Male","75"
"","151"
"Sarki",""
"Female","272"
"Male","281"
"","553"
"Tamang",""
"Female","129"
"Male","146"
"","275"
"Thakuri",""
"Female","3140"
"Male","3137"
"","6277"
