"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","9"
"Cow Dung","1023"
"Electricity Fuel","1"
"KeroseneFuel","28"
"LP Gas","101"
"Not Sated about Fuel","59"
"OthersFuel","1"
"Wood/FireWood","2404"
"Total","3626"
