"Population by Mother tongue","Number"
"Bhojpuri",""
"Female","8"
"Male","5"
"Doteli",""
"Female","11"
"Male","12"
"Hindi",""
"Female","24"
"Male","30"
"Limbu",""
"Female","17"
"Male","11"
"Maithili",""
"Female","21629"
"Male","21450"
"Nepali",""
"Female","233"
"Male","222"
"Newar",""
"Female","85"
"Male","69"
"Not Reported",""
"Female","144"
"Male","137"
"Others",""
"Female","15"
"Male","9"
"Rai",""
"Female","33"
"Male","37"
"Rajsthani",""
"Female","48"
"Male","62"
"Sunuwar",""
"Female","100"
"Male","121"
"Tamang",""
"Female","8"
"Male","8"
"Urdu",""
"Female","654"
"Male","552"
