"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","3076"
"Mud Roof","0"
"Not Sated Roof","3391"
"Other Type of Roof","127"
"RCC Roof","27573"
"Thatch/Straw Roof","20142"
"Tile/Slate Roof","82263"
"Wood/Planks Roof","1653"
"Total","138225"
