"Population by Religion","Number"
"Bahai","4"
"Bon","0"
"Buddism","11220"
"Christianity","652"
"Hindu","674367"
"Islam","63099"
"Jainism","9"
"Kirat","165"
"Prakriti","568"
"Sikhism","11"
"Undefined","4682"
"Total","754777"
