"Number of households by type of outer wall","Number"
"BambooWall","80528"
"Cement Bonded Bricks/Stone Wall","42156"
"Mud Bonded Bricks/Stone Wall","6897"
"Not Stated about Wall","3102"
"Other Type Wall","349"
"Unbaked Bricks","697"
"Wood/Planks","4496"
"Total","138225"
