"Agricultural land use area","Hectare"
"Area under arable land","66874.00"
"Area under meadows and pasture","184.00"
"Area under permanent crops","2524.00"
"Area under Temporary crops","66260.00"
"Area under temporary fallow","559.00"
"Area under temporary meadows","54.00"
"Other land","2326.00"
"Ponds","115.00"
"Woodland and forest","285.00"
"Total","139181.00"
