"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","2108"
"Mud Roof","0"
"Not Sated Roof","943"
"Other Type of Roof","226"
"RCC Roof","23177"
"Thatch/Straw Roof","3889"
"Tile/Slate Roof","8648"
"Wood/Planks Roof","295"
"Total","39286"
