"Number of households by type of outer wall","Number"
"BambooWall","10574"
"Cement Bonded Bricks/Stone Wall","25844"
"Mud Bonded Bricks/Stone Wall","1454"
"Not Stated about Wall","774"
"Other Type Wall","100"
"Unbaked Bricks","48"
"Wood/Planks","492"
"Total","39286"
