"Number of households by type of outer wall","Number"
"BambooWall","3779"
"Cement Bonded Bricks/Stone Wall","1694"
"Mud Bonded Bricks/Stone Wall","433"
"Not Stated about Wall","74"
"Other Type Wall","5"
"Unbaked Bricks","293"
"Wood/Planks","87"
"Total","6365"
