"Number of households by type of outer wall","Number"
"BambooWall","944"
"Cement Bonded Bricks/Stone Wall","1419"
"Mud Bonded Bricks/Stone Wall","404"
"Not stated","88"
"Others","245"
"Unbaked Bricks","23"
"Wood/Planks","6893"
"Total","10016"
