"Population by Five Years Age Group","Number"
"0-4",""
"Female","2877"
"Male","3016"
"10-14",""
"Female","4194"
"Male","4319"
"15-19",""
"Female","3355"
"Male","3094"
"20-24",""
"Female","3010"
"Male","2199"
"25-29",""
"Female","2497"
"Male","1848"
"30-34",""
"Female","2086"
"Male","1495"
"35-39",""
"Female","1764"
"Male","1508"
"40-44",""
"Female","1424"
"Male","1266"
"45-49",""
"Female","1127"
"Male","1008"
"50-54",""
"Female","849"
"Male","872"
"55-59",""
"Female","725"
"Male","685"
"5-9",""
"Female","3668"
"Male","3884"
"60-64",""
"Female","851"
"Male","695"
"65-69",""
"Female","467"
"Male","475"
"70-74",""
"Female","331"
"Male","376"
"75+",""
"Female","359"
"Male","319"
