"Number of households by type of outer wall","Number"
"BambooWall","8713"
"Cement Bonded Bricks/Stone Wall","3015"
"Mud Bonded Bricks/Stone Wall","86"
"Not stated","120"
"Others","54"
"Unbaked Bricks","17"
"Wood/Planks","1951"
"Total","13956"
