"Population by Five Years Age Group","Number"
"0-4",""
"Female","2529"
"Male","2606"
"10-14",""
"Female","3653"
"Male","3546"
"15-19",""
"Female","3713"
"Male","3321"
"20-24",""
"Female","3501"
"Male","2097"
"25-29",""
"Female","3143"
"Male","1785"
"30-34",""
"Female","2469"
"Male","1561"
"35-39",""
"Female","2012"
"Male","1359"
"40-44",""
"Female","1773"
"Male","1349"
"45-49",""
"Female","1671"
"Male","1213"
"50-54",""
"Female","1567"
"Male","1318"
"55-59",""
"Female","1233"
"Male","1182"
"5-9",""
"Female","3057"
"Male","3314"
"60-64",""
"Female","1052"
"Male","1094"
"65-69",""
"Female","767"
"Male","787"
"70-74",""
"Female","502"
"Male","551"
"75+",""
"Female","734"
"Male","673"
