"Population by Five Years Age Group","Number"
"0-4",""
"Female","1338"
"Male","1367"
"10-14",""
"Female","2148"
"Male","2172"
"15-19",""
"Female","2223"
"Male","2002"
"20-24",""
"Female","1790"
"Male","1330"
"25-29",""
"Female","1495"
"Male","1311"
"30-34",""
"Female","1048"
"Male","947"
"35-39",""
"Female","993"
"Male","856"
"40-44",""
"Female","900"
"Male","781"
"45-49",""
"Female","823"
"Male","713"
"50-54",""
"Female","721"
"Male","757"
"55-59",""
"Female","545"
"Male","586"
"5-9",""
"Female","2008"
"Male","1984"
"60-64",""
"Female","429"
"Male","465"
"65-69",""
"Female","255"
"Male","347"
"70-74",""
"Female","155"
"Male","199"
"75+",""
"Female","240"
"Male","282"
