"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","782"
"Mud Roof","8171"
"Not Sated Roof","17"
"Other Type of Roof","120"
"RCC Roof","5"
"Thatch/Straw Roof","128"
"Tile/Slate Roof","94"
"Wood/Planks Roof","120"
"Total","9437"
