"Agricultural land use area","Hectare"
"Area under arable land","4965.00"
"Area under meadows and pasture","2.00"
"Area under permanent crops","125.00"
"Area under Temporary crops","4934.00"
"Area under temporary fallow","26.00"
"Area under temporary meadows","4.00"
"Other land","127.00"
"Ponds","0.00"
"Woodland and forest","13.00"
"Total","10196.00"
