"Population by Five Years Age Group","Number"
"0-4",""
"Female","1519"
"Male","1571"
"10-14",""
"Female","1480"
"Male","1575"
"15-19",""
"Female","889"
"Male","1194"
"20-24",""
"Female","961"
"Male","954"
"25-29",""
"Female","873"
"Male","937"
"30-34",""
"Female","859"
"Male","743"
"35-39",""
"Female","664"
"Male","769"
"40-44",""
"Female","592"
"Male","612"
"45-49",""
"Female","514"
"Male","540"
"50-54",""
"Female","423"
"Male","471"
"55-59",""
"Female","384"
"Male","393"
"5-9",""
"Female","1863"
"Male","1898"
"60-64",""
"Female","312"
"Male","370"
"65-69",""
"Female","254"
"Male","282"
"70-74",""
"Female","160"
"Male","197"
"75+",""
"Female","85"
"Male","130"
