"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","978"
"Cow Dung","669"
"Electricity","13"
"Kerosene","91"
"LP Gas","2254"
"Not stated","69"
"Others","26"
"Wood/Firewood","11238"
"Total","15338"
