"Population by Five Years Age Group","Number"
"0-4",""
"Female","2662"
"Male","2650"
"10-14",""
"Female","3935"
"Male","4026"
"15-19",""
"Female","3890"
"Male","3549"
"20-24",""
"Female","3584"
"Male","2234"
"25-29",""
"Female","3241"
"Male","1806"
"30-34",""
"Female","2657"
"Male","1739"
"35-39",""
"Female","2423"
"Male","1745"
"40-44",""
"Female","2113"
"Male","1693"
"45-49",""
"Female","1787"
"Male","1484"
"50-54",""
"Female","1583"
"Male","1445"
"55-59",""
"Female","1278"
"Male","1263"
"5-9",""
"Female","3275"
"Male","3331"
"60-64",""
"Female","1207"
"Male","1164"
"65-69",""
"Female","824"
"Male","817"
"70-74",""
"Female","561"
"Male","586"
"75+",""
"Female","764"
"Male","658"
