"Number of Households by Type of Roof","Number"
"Galvanized Iron Plate","19802"
"Mud Roof","0"
"Not Sated Roof","144"
"Other Type of Roof","165"
"RCC Roof","4441"
"Thatch/Straw Roof","856"
"Tile/Slate Roof","67"
"Wood/Planks Roof","56"
"Total","25531"
