"Population by Religion","Number"
"Bahai","0"
"Bon","0"
"Buddism","182"
"Christianity","4"
"Hindu","20831"
"Islam","12"
"Jainism","0"
"Kirat","1"
"Prakriti","0"
"Sikhism","0"
"Undefined","0"
"Total","21030"
