"Population by Caste Ethinicity","Number"
"Badi",""
"Female","6"
"Male","6"
"","12"
"Brahman - Hill",""
"Female","1385"
"Male","1018"
"","2403"
"Chhetri",""
"Female","4861"
"Male","3357"
"","8218"
"Damai/Dholi",""
"Female","360"
"Male","271"
"","631"
"Gaine",""
"Female","22"
"Male","22"
"","44"
"Gharti/Bhujel",""
"Female","325"
"Male","252"
"","577"
"Gurung",""
"Female","105"
"Male","77"
"","182"
"Kami",""
"Female","993"
"Male","759"
"","1752"
"Kumal",""
"Female","1854"
"Male","1561"
"","3415"
"Magar",""
"Female","732"
"Male","582"
"","1314"
"Musalman",""
"Female","5"
"Male","6"
"","11"
"Newar",""
"Female","66"
"Male","53"
"","119"
"Others",""
"Female","17"
"Male","10"
"","27"
"Sanyasi/Dasnami",""
"Female","365"
"Male","254"
"","619"
"Sarki",""
"Female","878"
"Male","637"
"","1515"
"Terai Others",""
"Female","15"
"Male","8"
"","23"
"Thakuri",""
"Female","67"
"Male","35"
"","102"
