"Agricultural land use area","Hectare"
"Area under arable land","10476.92"
"Area under meadows and pasture","244.41"
"Area under permanent crops","573.00"
"Area under Temporary crops","10027.45"
"Area under temporary fallow","356.70"
"Area under temporary meadows","92.77"
"Other land","456.42"
"Ponds","10.03"
"Woodland and forest","597.76"
