"Children, Adolescent, Youth, Elderly and Working Population","Number"
"Adolescent (10-19)",""
"Female","13128"
"Male","13128"
"Children (0-4)",""
"Female","6023"
"Male","6023"
"Elderely (60+)",""
"Female","6040"
"Male","6040"
"Working population (15-59)",""
"Female","25323"
"Male","25323"
"Youth (15-24)",""
"Female","9258"
"Male","9258"
