"Population by Five Years Age Group","Number"
"0-4",""
"Female","5825"
"Male","6023"
"10-14",""
"Female","7330"
"Male","7336"
"15-19",""
"Female","6630"
"Male","5792"
"20-24",""
"Female","5632"
"Male","3466"
"25-29",""
"Female","4851"
"Male","2835"
"30-34",""
"Female","3932"
"Male","2279"
"35-39",""
"Female","3561"
"Male","2206"
"40-44",""
"Female","3240"
"Male","2239"
"45-49",""
"Female","2988"
"Male","2262"
"50-54",""
"Female","2579"
"Male","2160"
"55-59",""
"Female","2180"
"Male","2084"
"5-9",""
"Female","6551"
"Male","6673"
"60-64",""
"Female","2324"
"Male","1869"
"65-69",""
"Female","1632"
"Male","1436"
"70-74",""
"Female","1342"
"Male","1169"
"75+",""
"Female","1649"
"Male","1566"
