"Population by Single Year of Age","Number"
"0",""
"Female","1159"
"Male","1195"
"1",""
"Female","1093"
"Male","1167"
"10",""
"Female","1445"
"Male","1480"
"11",""
"Female","1367"
"Male","1391"
"12",""
"Female","1612"
"Male","1616"
"13",""
"Female","1384"
"Male","1449"
"14",""
"Female","1522"
"Male","1400"
"15",""
"Female","1440"
"Male","1407"
"16",""
"Female","1366"
"Male","1276"
"17",""
"Female","1341"
"Male","1272"
"18",""
"Female","1356"
"Male","1066"
"19",""
"Female","1127"
"Male","771"
"2",""
"Female","1193"
"Male","1233"
"20",""
"Female","1147"
"Male","741"
"21",""
"Female","1083"
"Male","725"
"22",""
"Female","1261"
"Male","736"
"23",""
"Female","1108"
"Male","579"
"24",""
"Female","1033"
"Male","685"
"25",""
"Female","1200"
"Male","637"
"26",""
"Female","970"
"Male","564"
"27",""
"Female","975"
"Male","585"
"28",""
"Female","971"
"Male","561"
"29",""
"Female","735"
"Male","488"
"3",""
"Female","1168"
"Male","1199"
"30",""
"Female","1132"
"Male","658"
"31",""
"Female","661"
"Male","401"
"32",""
"Female","871"
"Male","480"
"33",""
"Female","618"
"Male","355"
"34",""
"Female","650"
"Male","385"
"35",""
"Female","1051"
"Male","579"
"36",""
"Female","674"
"Male","457"
"37",""
"Female","607"
"Male","377"
"38",""
"Female","671"
"Male","428"
"39",""
"Female","558"
"Male","365"
"4",""
"Female","1212"
"Male","1229"
"40",""
"Female","1110"
"Male","623"
"41",""
"Female","522"
"Male","369"
"42",""
"Female","631"
"Male","520"
"43",""
"Female","508"
"Male","365"
"44",""
"Female","469"
"Male","362"
"45",""
"Female","927"
"Male","607"
"46",""
"Female","520"
"Male","385"
"47",""
"Female","483"
"Male","381"
"48",""
"Female","586"
"Male","476"
"49",""
"Female","472"
"Male","413"
"5",""
"Female","1319"
"Male","1372"
"50",""
"Female","868"
"Male","658"
"51",""
"Female","430"
"Male","345"
"52",""
"Female","524"
"Male","465"
"53",""
"Female","417"
"Male","378"
"54",""
"Female","340"
"Male","314"
"55",""
"Female","572"
"Male","485"
"56",""
"Female","437"
"Male","403"
"57",""
"Female","392"
"Male","408"
"58",""
"Female","411"
"Male","434"
"59",""
"Female","368"
"Male","354"
"6",""
"Female","1234"
"Male","1247"
"60",""
"Female","777"
"Male","570"
"61",""
"Female","445"
"Male","366"
"62",""
"Female","455"
"Male","365"
"63",""
"Female","347"
"Male","288"
"64",""
"Female","300"
"Male","280"
"65",""
"Female","485"
"Male","401"
"66",""
"Female","260"
"Male","246"
"67",""
"Female","377"
"Male","307"
"68",""
"Female","315"
"Male","285"
"69",""
"Female","195"
"Male","197"
"7",""
"Female","1356"
"Male","1284"
"70",""
"Female","526"
"Male","367"
"71",""
"Female","211"
"Male","199"
"72",""
"Female","295"
"Male","258"
"73",""
"Female","175"
"Male","205"
"74",""
"Female","135"
"Male","140"
"75",""
"Female","316"
"Male","238"
"76",""
"Female","149"
"Male","158"
"77",""
"Female","136"
"Male","177"
"78",""
"Female","165"
"Male","185"
"79",""
"Female","91"
"Male","91"
"8",""
"Female","1332"
"Male","1363"
"80",""
"Female","165"
"Male","153"
"81",""
"Female","87"
"Male","98"
"82",""
"Female","72"
"Male","85"
"83",""
"Female","83"
"Male","82"
"84",""
"Female","88"
"Male","59"
"85",""
"Female","297"
"Male","240"
"9",""
"Female","1310"
"Male","1407"
