"Population by Five Years Age Group","Number"
"0-4",""
"Female","1808"
"Male","1956"
"10-14",""
"Female","2771"
"Male","2810"
"15-19",""
"Female","2469"
"Male","2112"
"20-24",""
"Female","1922"
"Male","1322"
"25-29",""
"Female","1655"
"Male","1291"
"30-34",""
"Female","1398"
"Male","1068"
"35-39",""
"Female","1241"
"Male","1056"
"40-44",""
"Female","996"
"Male","983"
"45-49",""
"Female","791"
"Male","792"
"50-54",""
"Female","733"
"Male","717"
"55-59",""
"Female","602"
"Male","618"
"5-9",""
"Female","2300"
"Male","2364"
"60-64",""
"Female","545"
"Male","516"
"65-69",""
"Female","386"
"Male","418"
"70-74",""
"Female","238"
"Male","271"
"75+",""
"Female","248"
"Male","266"
