"Population by Mother tongue","Number"
"Avadhi",""
"Female","1678"
"Male","1802"
"Bhojpuri",""
"Female","6"
"Male","5"
"Doteli",""
"Female","20"
"Male","23"
"Hindi",""
"Female","39"
"Male","33"
"Kham",""
"Female","123"
"Male","88"
"Magar",""
"Female","182"
"Male","154"
"Maithili",""
"Female","10"
"Male","23"
"Nepali",""
"Female","8641"
"Male","7202"
"Newar",""
"Female","12"
"Male","17"
"Others",""
"Female","15"
"Male","11"
"Sign Language",""
"Female","6"
"Male","6"
"Tamang",""
"Female","10"
"Male","2"
"Tharu",""
"Female","8807"
"Male","8600"
"Urdu",""
"Female","554"
"Male","523"
