"Population by Caste Ethinicity","Number"
"Badi",""
"Female","30"
"Male","17"
"","47"
"Brahman - Hill",""
"Female","376"
"Male","313"
"","689"
"Chhantyal/Chhantel",""
"Female","676"
"Male","553"
"","1229"
"Chhetri",""
"Female","1806"
"Male","1351"
"","3157"
"Damai/Dholi",""
"Female","858"
"Male","588"
"","1446"
"Gurung",""
"Female","21"
"Male","30"
"","51"
"Kami",""
"Female","850"
"Male","689"
"","1539"
"Koiri/Kushwaha",""
"Female","5"
"Male","9"
"","14"
"Magar",""
"Female","3396"
"Male","2601"
"","5997"
"Newar",""
"Female","46"
"Male","42"
"","88"
"Others",""
"Female","19"
"Male","22"
"","41"
"Sarki",""
"Female","230"
"Male","189"
"","419"
"Tamang",""
"Female","5"
"Male","31"
"","36"
"Terai Others",""
"Female","8"
"Male","5"
"","13"
"Thakali",""
"Female","26"
"Male","23"
"","49"
"Thakuri",""
"Female","513"
"Male","401"
"","914"
"Tharu",""
"Female","7"
"Male","17"
"","24"
