"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas Fuel","5"
"Cow Dung","11"
"Electricity Fuel","1"
"KeroseneFuel","14"
"LP Gas","547"
"Not Sated about Fuel","5"
"OthersFuel","8"
"Wood/FireWood","6716"
"Total","7307"
