"Population by Five Years Age Group","Number"
"0-4",""
"Female","1299"
"Male","1454"
"10-14",""
"Female","1714"
"Male","1721"
"15-19",""
"Female","1213"
"Male","1223"
"20-24",""
"Female","1032"
"Male","826"
"25-29",""
"Female","1138"
"Male","845"
"30-34",""
"Female","1045"
"Male","735"
"35-39",""
"Female","895"
"Male","836"
"40-44",""
"Female","744"
"Male","636"
"45-49",""
"Female","616"
"Male","658"
"50-54",""
"Female","527"
"Male","511"
"55-59",""
"Female","444"
"Male","535"
"5-9",""
"Female","1849"
"Male","1881"
"60-64",""
"Female","474"
"Male","427"
"65-69",""
"Female","292"
"Male","297"
"70-74",""
"Female","165"
"Male","189"
"75+",""
"Female","123"
"Male","146"
