"Industries Types","Number"
"Accommodation and food","1468"
"Administrative and support service activity","47"
"Agriculture, forestry and fishing","127"
"Art, entertainment and recreation","12"
"Construction","21"
"Education","507"
"Electricty gas and water","13"
"Financial intermediation and insurance","153"
"Health and social work","135"
"Information and communications","32"
"Manufacturing","1340"
"Mining and quarrying","102"
"Other service activities","823"
"Professional,scientific and techniqual activity","104"
"Real state, renting and business activities","2"
"Transport and storage","19"
"Water supply, wet management","16"
"Wholesale and retail trade","6580"
"Total","11501"
