"Population by Five Years Age Group","Number"
"0-4",""
"Female","2146"
"Male","2149"
"10-14",""
"Female","3224"
"Male","3199"
"15-19",""
"Female","3181"
"Male","2828"
"20-24",""
"Female","2607"
"Male","1930"
"25-29",""
"Female","2225"
"Male","1858"
"30-34",""
"Female","1826"
"Male","1483"
"35-39",""
"Female","1642"
"Male","1497"
"40-44",""
"Female","1331"
"Male","1197"
"45-49",""
"Female","975"
"Male","1147"
"50-54",""
"Female","803"
"Male","794"
"55-59",""
"Female","642"
"Male","686"
"5-9",""
"Female","2795"
"Male","2873"
"60-64",""
"Female","609"
"Male","576"
"65-69",""
"Female","429"
"Male","450"
"70-74",""
"Female","234"
"Male","239"
"75+",""
"Female","203"
"Male","234"
