"Population by Five Years Age Group","Number"
"0-4",""
"Female","1589"
"Male","1907"
"10-14",""
"Female","2338"
"Male","2751"
"15-19",""
"Female","2961"
"Male","4166"
"20-24",""
"Female","4513"
"Male","6769"
"25-29",""
"Female","3808"
"Male","6370"
"30-34",""
"Female","2706"
"Male","3329"
"35-39",""
"Female","2237"
"Male","2270"
"40-44",""
"Female","1815"
"Male","2035"
"45-49",""
"Female","1318"
"Male","1453"
"50-54",""
"Female","1108"
"Male","1169"
"55-59",""
"Female","871"
"Male","878"
"5-9",""
"Female","1956"
"Male","2252"
"60-64",""
"Female","743"
"Male","715"
"65-69",""
"Female","619"
"Male","516"
"70-74",""
"Female","448"
"Male","382"
"75+",""
"Female","656"
"Male","523"
