"Number of Households by Usage of Cooking Fuel","Number"
"Bio-Gas","16"
"Cow Dung","3774"
"Electricity","5"
"Kerosene","84"
"LP Gas","99"
"Not stated","31"
"Others","64"
"Wood/Firewood","3244"
"Total","7317"
