"Agricultural land use area","Hectare"
"Area under arable land","8569.68"
"Area under meadows and pasture","17.53"
"Area under permanent crops","40.64"
"Area under Temporary crops","8355.32"
"Area under temporary fallow","211.83"
"Area under temporary meadows","2.52"
"Other land","866.73"
"Ponds","0.53"
"Woodland and forest","100.54"
